,米,茶
北海道,545500,0
青森,222300,0
岩手,254300,0
宮城,352300,0
秋田,409600,0
山形,345300,0
福島,333600,0
茨城,350100,0
栃木,295300,0
群馬,71200,0
埼玉,154100,3060
千葉,295900,0
東京,627,0
神奈川,15400,0
新潟,589700,0
富山,191300,0
石川,123900,0
福井,126300,0
山梨,27000,0
長野,197800,0
岐阜,105500,0
静岡,83000,141500
愛知,140100,4460
三重,140900,30500
滋賀,161300,0
京都,73800,14400
大阪,26800,0
兵庫,177400,0
奈良,45600,7130
和歌山,34100,0
鳥取,65300,0
島根,91300,0
岡山,155600,0
広島,124300,0
山口,101400,0
徳島,56400,0
香川,67100,0
愛媛,72100,0
高知,53100,0
福岡,177400,9220
佐賀,128200,5490
長崎,59500,3880
熊本,171300,6250
大分,106300,0
宮崎,77200,17900
鹿児島,97600,120700
沖縄,2300,0
